Elapsed time,vals
2.386,3.544
2.388,3.042
2.39,2.847
2.392,2.246
2.394,3.026
2.396,2.754
2.398,2.271
2.4,1.964
2.402,1.259
2.404,-0.133
2.406,-1.815
2.408,-3.918
2.41,-6.415
2.412,-8.586
2.414,-10.599
2.416,-11.392
2.418,-11.308
2.42,-9.738
2.422,-8.03
2.424,-5.883
2.426,-3.45
2.428,-2.719
2.43,-1.855
2.432,-1.945
2.434,-2.409
2.436,-2.998
2.438,-3.994
2.44,-5.027
2.442,-5.992
2.444,-6.954
2.446,-6.358
2.448,-4.89
2.45,-2.649
2.452,0.024
2.454,2.902
2.456,4.776
2.458,5.987
2.46,6.486
2.462,6.57
2.464,7.027
2.466,7.622
2.468,8.589
2.47,9.069
2.472,9.663
2.474,9.455
2.476,9.389
2.478,9.137
2.48,8.895
2.482,9.154
2.484,10.077
2.486,11.111
2.488,11.848
2.49,12.076
2.492,10.833
2.494,9.308
2.496,7.632
2.498,5.732
2.5,4.309
2.502,3.304
2.504,2.83
2.506,2.621
2.508,3.279
2.51,3.969
2.512,5.391
2.514,6.808
2.516,8.864
2.518,10.945
2.52,12.79
2.522,14.855
2.524,15.928
2.526,16.456
2.528,16.1
2.53,15.779
2.532,15.684
2.534,15.291
2.536,15.133
2.538,14.793
2.54,16.53
2.542,16.007
2.544,14.334
2.546,14.106
2.548,12.227
2.55,9.432
2.552,8.486
2.554,5.328
2.556,3.035
2.558,0.721
2.56,-0.804
2.562,-3.137
2.564,-4.23
2.566,-7.365
2.568,-6.98
2.57,-6.304
2.572,-5.036
2.574,-2.322
2.576,-1.498
2.578,0.946
2.58,2.053
2.582,3.352
2.584,1.975
2.586,1.498
2.588,-0.095
2.59,-1.414
2.592,-1.824
2.594,-3.49
2.596,-4.833
2.598,-5.401
2.6,-6.525
2.602,-6.971
2.604,-8.328
2.606,-7.885
2.608,-8.795
2.61,-8.718
2.612,-7.422
2.614,-8.925
2.616,-8.353
2.618,-6.494
2.62,-5.351
2.622,-4.01
2.624,-2.12
2.626,-1.488
2.628,-1.687
2.63,-3.875
2.632,-6.65
2.634,-10.222
2.636,-13.06
2.638,-16.942
2.64,-18.139
2.642,-18.607
2.644,-17.49
2.646,-14.851
2.648,-11.871
2.65,-9.714
2.652,-8.723
2.654,-7.35
2.656,-8.303
2.658,-9.776
2.66,-11.894
2.662,-13.223
2.664,-13.411
2.666,-14.689
2.668,-13.463
2.67,-10.92
2.672,-9.668
2.674,-7.066
2.676,-5.413
2.678,-3.707
2.68,-3.111
2.682,-3.277
2.684,-4.805
2.686,-5.826
2.688,-6.786
2.69,-7.139
2.692,-7.303
2.694,-5.494
2.696,-3.996
2.698,-2.11
2.7,-1.506
2.702,-1.707
2.704,-3.014
2.706,-5.723
2.708,-7.356
2.71,-9.177
2.712,-10.109
2.714,-9.791
2.716,-8.523
2.718,-7.315
2.72,-5.687
2.722,-3.985
2.724,-3.625
2.726,-3.38
2.728,-3.151
2.73,-2.828
2.732,-2.177
2.734,-1.364
2.736,-0.299
2.738,1.037
2.74,2.392
2.742,4.062
2.744,5.601
2.746,7.282
2.748,8.222
2.75,9.014
2.752,9.031
2.754,8.597
2.756,7.933
2.758,6.462
2.76,6.401
2.762,6.218
2.764,7.15
2.766,7.945
2.768,10.078
2.77,11.627
2.772,13.551
2.774,13.735
2.776,14.465
2.778,14.059
2.78,16.306
2.782,16.666
2.784,18.145
2.786,20.003
2.788,22.23
2.79,23.812
2.792,24.904
2.794,23.599
2.796,22.127
2.798,21.542
2.8,19.672
2.802,18.827
2.804,17.516
2.806,16.371
2.808,13.852
2.81,11.036
2.812,8.592
2.814,6.588
2.816,5.253
2.818,3.422
2.82,2.361
2.822,0.628
2.824,-0.934
2.826,-2.126
2.828,-3.072
2.83,-3.45
2.832,-3.264
2.834,-2.561
2.836,-1.356
2.838,-0.407
2.84,0.476
2.842,2.078
2.844,3.838
2.846,4.98
2.848,6.535
2.85,7.377
2.852,7.407
2.854,7.151
2.856,6.85
2.858,5.964
2.86,5.704
2.862,5.466
2.864,6.032
2.866,6.952
2.868,7.41
2.87,8.524
2.872,9.659
2.874,9.576
2.876,9.588
2.878,9.48
2.88,11.003
2.882,11.247
2.884,11.639
2.886,11.174
2.888,11.443
2.89,10.625
2.892,10.696
2.894,10.839
2.896,11.55
2.898,12.261
2.9,13.03
2.902,13.158
2.904,13.162
2.906,12.151
2.908,12.016
2.91,11.411
2.912,11.266
2.914,12.19
2.916,13.07
2.918,13.621
2.92,14.753
2.922,15.223
2.924,15.679
2.926,15.614
2.928,15.506
2.93,14.759
2.932,14.001
2.934,11.81
2.936,9.85
2.938,7.432
2.94,5.199
2.942,2.968
2.944,2.196
2.946,1.072
2.948,0.379
2.95,-0.753
2.952,-0.195
2.954,-0.837
2.956,-1.21
2.958,-0.992
2.96,-0.574
2.962,0.125
2.964,0.718
2.966,1.329
2.968,2.122
2.97,3.032
2.972,4.051
2.974,5.32
2.976,7.238
2.978,8.66
2.98,10.676
2.982,11.097
2.984,12.83
2.986,12.923
2.988,12.897
2.99,13.183
2.992,13.678
2.994,14.452
2.996,15.913
2.998,17.211
3,16.601
3.002,14.974
3.004,12.545
3.006,11.172
3.008,9.548
3.01,9.707
3.012,10.496
3.014,11.309
3.016,11.703
3.018,11.134
3.02,9.349
3.022,8.484
3.024,5.936
3.026,4.25
3.028,3.049
3.03,2.491
3.032,2.512
3.034,3.66
3.036,5.288
3.038,7.199
3.04,9.798
3.042,12.893
3.044,14.269
3.046,15.779
3.048,16.788
3.05,16.19
3.052,15.929
3.054,13.492
3.056,10.957
3.058,7.938
3.06,6.653
3.062,5.523
3.064,5.562
3.066,5.241
3.068,6.506
3.07,7.554
3.072,6.454
3.074,6.67
3.076,4.976
3.078,3.072
3.08,1.092
3.082,-0.742
3.084,-1.901
3.086,-3.166
3.088,-3.214
3.09,-3.514
3.092,-3.498
3.094,-3.635
3.096,-3.153
3.098,-4.361
3.1,-3.911
3.102,-4.541
3.104,-4.162
3.106,-4.86
3.108,-4.652
3.11,-4.941
3.112,-5.612
3.114,-5.585
3.116,-5.304
3.118,-4.381
3.12,-3.102
3.122,-1.032
3.124,1.19
3.126,3.317
3.128,5.338
3.13,7.385
3.132,8.991
3.134,10.591
3.136,11.716
3.138,12.283
3.14,12.305
3.142,11.815
3.144,11.309
3.146,10.839
3.148,10.592
3.15,11.245
3.152,12.022
3.154,14.235
3.156,16.951
3.158,19.968
3.16,22.905
3.162,25.225
3.164,25.618
